term: a, termFreq = 6523, docCount = 2081
term: aaron, termFreq = 1, docCount = 1
term: abac, termFreq = 1, docCount = 1
term: abacus, termFreq = 1, docCount = 1
term: abandoned, termFreq = 2, docCount = 2
term: abandoning, termFreq = 1, docCount = 1
term: abbott, termFreq = 1, docCount = 1
term: abbreviated, termFreq = 1, docCount = 1
term: abbreviating, termFreq = 2, docCount = 2
term: abbreviation, termFreq = 2, docCount = 2
term: abbreviations, termFreq = 1, docCount = 1
term: abcd, termFreq = 1, docCount = 1
term: abd, termFreq = 1, docCount = 1
term: abdali, termFreq = 1, docCount = 1
term: abel, termFreq = 1, docCount = 1
term: abelian, termFreq = 1, docCount = 1
term: aberth, termFreq = 1, docCount = 1
term: abilities, termFreq = 2, docCount = 2
term: ability, termFreq = 29, docCount = 26
term: able, termFreq = 17, docCount = 17
term: about, termFreq = 79, docCount = 64
term: above, termFreq = 24, docCount = 23
term: abraham, termFreq = 1, docCount = 1
term: abrahams, termFreq = 3, docCount = 3
term: abramowich, termFreq = 1, docCount = 1
term: abrams, termFreq = 1, docCount = 1
term: abscissas, termFreq = 3, docCount = 3
term: absence, termFreq = 7, docCount = 7
term: absolute, termFreq = 10, docCount = 9
term: absolutely, termFreq = 2, docCount = 2
term: absorbed, termFreq = 1, docCount = 1
term: absorption, termFreq = 1, docCount = 1
term: abstract, termFreq = 38, docCount = 22
term: abstracting, termFreq = 6, docCount = 4
term: abstraction, termFreq = 26, docCount = 16
term: abstractions, termFreq = 18, docCount = 8
term: abstracts, termFreq = 3, docCount = 3
term: abuse, termFreq = 1, docCount = 1
term: academic, termFreq = 18, docCount = 10
term: academicians, termFreq = 1, docCount = 1
term: accelerate, termFreq = 1, docCount = 1
term: accelerated, termFreq = 2, docCount = 2
term: accelerates, termFreq = 1, docCount = 1
term: accelerating, termFreq = 4, docCount = 4
term: acceleration, termFreq = 2, docCount = 1
term: accent, termFreq = 1, docCount = 1
term: accept, termFreq = 8, docCount = 7
term: acceptable, termFreq = 5, docCount = 5
term: acceptance, termFreq = 5, docCount = 5
term: accepted, termFreq = 6, docCount = 5
term: accepting, termFreq = 7, docCount = 7
term: accepts, termFreq = 11, docCount = 10
term: access, termFreq = 125, docCount = 74
term: accessed, termFreq = 11, docCount = 9
term: accesses, termFreq = 20, docCount = 13
term: accessibility, termFreq = 1, docCount = 1
term: accessible, termFreq = 5, docCount = 5
term: accessing, termFreq = 7, docCount = 7
term: accident, termFreq = 1, docCount = 1
term: accidentally, termFreq = 1, docCount = 1
term: accommodate, termFreq = 4, docCount = 4
term: accommodating, termFreq = 1, docCount = 1
term: accommodation, termFreq = 1, docCount = 1
term: accompanied, termFreq = 2, docCount = 2
term: accompanying, termFreq = 1, docCount = 1
term: accomplish, termFreq = 9, docCount = 9
term: accomplished, termFreq = 14, docCount = 14
term: accomplishes, termFreq = 1, docCount = 1
term: accomplishing, termFreq = 6, docCount = 6
term: accomplishments, termFreq = 1, docCount = 1
term: accordance, termFreq = 5, docCount = 5
term: according, termFreq = 21, docCount = 20
term: accordingly, termFreq = 2, docCount = 2
term: account, termFreq = 23, docCount = 20
term: accountability, termFreq = 3, docCount = 1
term: accounting, termFreq = 16, docCount = 8
term: accounts, termFreq = 2, docCount = 2
term: accreditation, termFreq = 2, docCount = 2
term: accrue, termFreq = 1, docCount = 1
term: accrued, termFreq = 1, docCount = 1
term: accumulate, termFreq = 1, docCount = 1
term: accumulated, termFreq = 6, docCount = 5
term: accumulates, termFreq = 1, docCount = 1
term: accumulating, termFreq = 2, docCount = 2
term: accumulation, termFreq = 5, docCount = 5
term: accumulative, termFreq = 1, docCount = 1
term: accumulator, termFreq = 1, docCount = 1
term: accumulators, termFreq = 9, docCount = 6
term: accuracy, termFreq = 55, docCount = 41
term: accurate, termFreq = 21, docCount = 19
term: accurately, termFreq = 12, docCount = 10
term: acf, termFreq = 1, docCount = 1
term: achievable, termFreq = 3, docCount = 3
term: achieve, termFreq = 28, docCount = 27
term: achieved, termFreq = 30, docCount = 28
term: achievement, termFreq = 3, docCount = 3
term: achieves, termFreq = 3, docCount = 3
term: achieving, termFreq = 10, docCount = 10
term: ackerman, termFreq = 1, docCount = 1
term: ackermann, termFreq = 1, docCount = 1
term: ackley, termFreq = 1, docCount = 1
term: acknowledge, termFreq = 1, docCount = 1
term: acl, termFreq = 1, docCount = 1
term: acm, termFreq = 55, docCount = 42
term: acos, termFreq = 1, docCount = 1
term: acoustic, termFreq = 1, docCount = 1
term: acquire, termFreq = 4, docCount = 4
term: acquired, termFreq = 1, docCount = 1
term: acquires, termFreq = 1, docCount = 1
term: acquis, termFreq = 2, docCount = 1
term: acquisition, termFreq = 5, docCount = 4
term: acquisitition, termFreq = 1, docCount = 1
term: acronym, termFreq = 1, docCount = 1
term: across, termFreq = 4, docCount = 4
term: act, termFreq = 1, docCount = 1
term: acting, termFreq = 1, docCount = 1
term: action, termFreq = 15, docCount = 14
term: actions, termFreq = 25, docCount = 21
term: activated, termFreq = 1, docCount = 1
term: activation, termFreq = 5, docCount = 3
term: active, termFreq = 11, docCount = 11
term: activities, termFreq = 33, docCount = 27
term: activity, termFreq = 38, docCount = 24
term: acton, termFreq = 3, docCount = 3
term: actors, termFreq = 1, docCount = 1
term: acts, termFreq = 1, docCount = 1
term: actual, termFreq = 29, docCount = 27
term: actualized, termFreq = 1, docCount = 1
term: actually, termFreq = 17, docCount = 17
term: acyclic, termFreq = 4, docCount = 1
term: acyclically, termFreq = 1, docCount = 1
term: ad, termFreq = 7, docCount = 7
term: ada, termFreq = 1, docCount = 1
term: adam, termFreq = 1, docCount = 1
term: adams, termFreq = 8, docCount = 7
term: adapt, termFreq = 2, docCount = 2
term: adaptation, termFreq = 3, docCount = 3
term: adapted, termFreq = 10, docCount = 10
term: adapting, termFreq = 6, docCount = 6
term: adaptive, termFreq = 36, docCount = 22
term: adaptively, termFreq = 1, docCount = 1
term: add, termFreq = 8, docCount = 8
term: added, termFreq = 24, docCount = 23
term: addends, termFreq = 3, docCount = 2
term: addendum, termFreq = 6, docCount = 4
term: adder, termFreq = 4, docCount = 3
term: adding, termFreq = 9, docCount = 9
term: addition, termFreq = 63, docCount = 62
